date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:22	11183/11183	---M-Z	200	added ('OK')	text/css	etag:%222baf-548f2296f5180-gzip%22	http://egotype.design/work/web/html/kounter/css/icons/photoswipe/icons.css	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/css/icons/photoswipe/icons.css	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:23	20567/20567	---M-Z	200	added ('OK')	text/css	etag:%225057-55c720c3e7440-gzip%22	http://egotype.design/work/web/html/kounter/css/style.css	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/css/style.css	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:24	1119/1119	---M-Z	200	added ('OK')	text/css	etag:%2245f-55c7280a6de80-gzip%22	http://egotype.design/work/web/html/kounter/css/responsive.css	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/css/responsive.css	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:25	1636/1636	---M--	200	added ('OK')	image/png	etag:%22664-548f240fa8a40%22	http://egotype.design/work/web/html/kounter/images/logo-lg.png	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/logo-lg.png	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:44	76618/76618	---M--	200	added ('OK')	image/jpeg	etag:%2212b4a-548f23d29fa40%22	http://egotype.design/work/web/html/kounter/images/about-image-6.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/about-image-6.jpg	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:47	111755/111755	---M--	200	added ('OK')	image/jpeg	etag:%221b48b-548f23cbf2a80%22	http://egotype.design/work/web/html/kounter/images/about-image-5.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/about-image-5.jpg	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:08	266571/266571	---M--	200	added ('OK')	image/jpeg	etag:%224114b-548f23c822180%22	http://egotype.design/work/web/html/kounter/images/about-image-5-lg.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/about-image-5-lg.jpg	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:14	259338/259338	---M--	200	added ('OK')	image/jpeg	etag:%223f50a-548f23dff99c0%22	http://egotype.design/work/web/html/kounter/images/about-image-6-lg.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/about-image-6-lg.jpg	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:15	149719/149719	---M--	200	added ('OK')	image/jpeg	etag:%22248d7-548f23ee47b80%22	http://egotype.design/work/web/html/kounter/images/about-image-7.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/about-image-7.jpg	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:25	130520/130520	---M-Z	200	added ('OK')	application/javascript	etag:%221fdd8-548f25cd06500-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/jquery1.11.2.min.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/jquery1.11.2.min.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
